frame,ssim,mse,text,trans
604,99.7,8.670996384194507e-06,,
605,99.9,2.890332128064836e-06,,
606,99.93,1.445166064032418e-06,,
607,99.75,4.335498192097253e-06,,
608,99.93,1.445166064032418e-06,,
609,99.98,1.445166064032418e-06,,
610,99.53,7.22583032016209e-06,,
611,99.95,1.445166064032418e-06,,
612,99.96,1.445166064032418e-06,,
613,99.67,4.335498192097253e-06,,
614,100.0,0.0,,
615,99.82,2.890332128064836e-06,,
616,99.92,1.445166064032418e-06,,
617,99.99,0.0,,
618,99.99,0.0,,
619,99.92,1.445166064032418e-06,,
620,99.94,1.445166064032418e-06,,
621,100.0,0.0,,
622,99.9,1.445166064032418e-06,,
623,99.98,0.0,,
624,99.99,0.0,,
625,99.97,1.445166064032418e-06,,
626,99.98,0.0,,
627,100.0,0.0,,
628,99.99,0.0,,
629,99.94,1.445166064032418e-06,,
630,99.96,1.445166064032418e-06,,
631,98.61,2.0232324896453855e-05,,
632,97.96,2.745815521661594e-05,,
633,99.82,2.890332128064836e-06,,
634,99.83,4.335498192097253e-06,,
635,99.81,2.890332128064836e-06,,
636,99.9,2.890332128064836e-06,,
637,99.94,1.445166064032418e-06,,
638,99.84,2.890332128064836e-06,,
639,99.96,1.445166064032418e-06,,
640,99.96,1.445166064032418e-06,,
641,99.8,4.335498192097253e-06,,
642,99.97,1.445166064032418e-06,,
643,97.4,3.901948372887529e-05,,
644,99.58,8.670996384194507e-06,,
645,99.56,8.670996384194507e-06,,
646,99.41,1.0116162448226928e-05,,
647,99.61,7.22583032016209e-06,,
648,99.27,1.1561328512259344e-05,,
649,99.8,4.335498192097253e-06,,
650,99.99,1.445166064032418e-06,,
651,99.83,4.335498192097253e-06,,
652,99.92,1.445166064032418e-06,,
653,100.0,0.0,,
654,99.93,1.445166064032418e-06,,
655,100.0,0.0,,
656,99.97,1.445166064032418e-06,,
657,99.99,1.445166064032418e-06,,
658,99.85,4.335498192097253e-06,,
659,99.91,2.890332128064836e-06,,
660,99.84,2.890332128064836e-06,,
661,99.47,8.670996384194507e-06,,
662,100.0,0.0,,
663,100.0,0.0,,
664,99.99,0.0,,
665,99.94,4.335498192097253e-06,,
666,99.99,0.0,,
667,99.99,0.0,,
668,99.99,1.445166064032418e-06,,
669,99.99,1.445166064032418e-06,,
670,99.99,0.0,,
671,100.0,0.0,,
672,100.0,0.0,,
673,99.99,0.0,,
674,100.0,0.0,,
675,100.0,0.0,,
676,99.96,2.890332128064836e-06,,
677,99.99,1.445166064032418e-06,,
678,99.99,1.445166064032418e-06,,
679,99.99,1.445166064032418e-06,,
680,99.98,1.445166064032418e-06,,
681,99.99,1.445166064032418e-06,,
682,99.99,1.445166064032418e-06,,
683,99.99,0.0,,
684,99.99,1.445166064032418e-06,,
685,100.0,0.0,,
686,99.99,0.0,,
687,99.99,1.445166064032418e-06,,
688,99.99,1.445166064032418e-06,,
689,99.97,2.890332128064836e-06,,
690,99.97,1.445166064032418e-06,,
691,99.89,4.335498192097253e-06,,
692,99.95,4.335498192097253e-06,,
693,99.93,4.335498192097253e-06,,
694,99.98,1.445166064032418e-06,,
695,99.95,4.335498192097253e-06,,
696,99.93,5.780664256129672e-06,,
697,99.94,5.780664256129672e-06,,
698,99.92,4.335498192097253e-06,,
699,99.94,4.335498192097253e-06,,
700,99.94,2.890332128064836e-06,,
701,99.96,1.445166064032418e-06,,
702,100.0,0.0,,
703,99.98,1.445166064032418e-06,,
704,99.89,2.890332128064836e-06,,
705,99.89,2.890332128064836e-06,,
706,99.99,0.0,,
707,99.99,0.0,,
708,99.99,0.0,,
709,99.99,0.0,,
710,100.0,0.0,,
711,99.99,0.0,,
712,99.99,0.0,,
713,99.99,0.0,,
714,99.99,0.0,,
715,100.0,0.0,,
716,100.0,0.0,,
717,100.0,0.0,,
718,99.99,0.0,,
719,100.0,0.0,,
720,99.97,1.445166064032418e-06,,
721,99.93,1.445166064032418e-06,,
722,99.99,1.445166064032418e-06,,
723,99.99,1.445166064032418e-06,,
724,100.0,0.0,,
725,100.0,0.0,,
726,100.0,0.0,,
727,100.0,0.0,,
728,100.0,0.0,,
729,99.99,0.0,,
730,99.99,0.0,,
731,100.0,0.0,,
732,100.0,0.0,,
733,100.0,0.0,,
734,100.0,0.0,,
735,100.0,0.0,,
736,99.95,2.890332128064836e-06,,
737,99.39,7.22583032016209e-06,,
738,99.34,8.670996384194507e-06,,
739,83.86,0.00019365225258034403,,
740,98.89,2.3122657024518687e-05,,
741,99.31,1.0116162448226928e-05,,
742,88.88,0.00012283911544275553,,
743,99.89,5.780664256129672e-06,,
744,99.9,2.890332128064836e-06,,
745,99.94,1.445166064032418e-06,,
746,99.99,0.0,,
747,100.0,0.0,,
748,99.96,2.890332128064836e-06,,
749,99.98,1.445166064032418e-06,,
750,99.85,4.335498192097253e-06,,
751,99.85,4.335498192097253e-06,,
752,99.94,2.890332128064836e-06,,
753,99.99,1.445166064032418e-06,,
754,100.0,0.0,,
755,99.98,1.445166064032418e-06,,
756,99.87,4.335498192097253e-06,,
757,99.89,1.445166064032418e-06,,
758,99.94,1.445166064032418e-06,,
759,100.0,0.0,,
760,100.0,0.0,,
761,99.92,1.445166064032418e-06,,
